Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de Federico García Lorca;Hombre;Federico García Lorca;0.0;;;;;;;1
Calle de Joaquín Rodrigo;Hombre;Joaquín Rodrigo;0.0;;;;;;;1
Calle Ataúlfo Argenta;Hombre;Ataúlfo Argenta;0.0;;;;;;;1
Calle San Blas;Hombre;San Blas;1.0;;;;;;;1
Calle Ramón y Cajal;Hombre;Ramón y Cajal;0.0;;;;;;;1
Calle Pablo Sorozábal;Hombre;Pablo Sorozábal;0.0;;;;;;;1
Avenida Juan Carlos I;Hombre;Juan Carlos I;0.0;;;;;;;1
Calle Bartolomé Hurtado;Hombre;Bartolomé Hurtado;0.0;;;;;;;1
Calle Carlos V;Hombre;Carlos V;0.0;;;;;;;1
Calle San Antón;Hombre;San Antón;1.0;;;;;;;1
Calle de Enrique Granados;Hombre;Enrique Granados;0.0;;;;;;;1
Calle Enrique Granados;Hombre;Enrique Granados;0.0;;;;;;;1
Calle San Roque;Hombre;San Roque;1.0;;;;;;;1
Calle Río Guadalquivir;Hombre;Río Guadalquivir;0.0;;;;;;;1
Calle Río Miño;Hombre;Río Miño;0.0;;;;;;;1
Calle de Pablo Casals;Hombre;Pablo Casals;0.0;;;;;;;1
Calle Icíar Bollaín;Hombre;Icíar Bollaín;0.0;;;;;;;1
Calle Nardo;NA;Nardo;0.0;;;;;;;1
Calle Reyes Católicos;NA;Reyes Católicos;0.0;;;;;;;1
Pablo Casals;Hombre;Pablo Casals;0.0;;;;;;;1
Travesía Severo Ochoa;Hombre;Severo Ochoa;0.0;;;;;;;1
Calle Fernando III El Santo;Hombre;Fernando III El Santo;0.0;;;;;;;1
Calle Reyes Magos;Hombre;Reyes Magos;0.0;;;;;;;1
Calle Severo Ochoa;Hombre;Severo Ochoa;0.0;;;;;;;1
Calle Río Sil;NA;Río Sil;0.0;;;;;;;1
Travesía de San Blas;Hombre;San Blas;1.0;;;;;;;1
Calle Virgilio Leret;Hombre;Virgilio Leret;0.0;;;;;;;
Bulevar John Deere;Hombre;John Deere;0.0;;;;;;;
Calle Alejandro Goicoechea;Hombre;Alejandro Goicoechea;0.0;;;;;;;
Calle Agustín de Betancourt;Hombre;Agustín de Betancourt;0.0;;;;;;;
Avenida Blasco de Garay;Hombre;Blasco de Garay;0.0;;;;;;;
Calle Emilio Bellvis;Hombre;Emilio Bellvis;0.0;;;;;;;
Avenida Juan de la Cierva;Hombre;Juan de la Cierva;0.0;;;;;;;
Avenida Isaac Peral;Hombre;Isaac Peral;0.0;;;;;;;
Calle Enric Bernat;Hombre;Enric Bernat;0.0;;;;;;;
Calle Río Guadiana;NA;Río Guadiana;0.0;;;;;;;1
Calle El Cebadero;NA;Cebadero;0.0;;;;;;;1
Calle Jaime I El Conquistador;Hombre;Jaime I El Conquistador;0.0;;;;;;;1
Calle de Manuel de Falla;Hombre;Manuel de Falla;0.0;;;;;;;1
Calle Concepción Arenal;Mujer;Concepción Arenal;0.0;;escritora, abogada y proto-trabajadora social española;https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal;http://commons.wikimedia.org/wiki/Special:FilePath/Concepcion%20Arenal%201.jpg;1820-01-31T00:00:00Z;1893-02-04T00:00:00Z;1
Calle Río Jordán;Hombre;Río Jordán;0.0;;;;;;;1
Calle Pablo Casals;Hombre;Pablo Casals;0.0;;;;;;;1
Calle Cid Campeador;Hombre;Cid Campeador;0.0;;;;;;;1
Calle de Eduardo Chillida;Hombre;Eduardo Chillida;0.0;;;;;;;
Calle Juan de Austria;Hombre;Juan de Austria;0.0;;;;;;;1
Calle de San Roque;Hombre;San Roque;1.0;;;;;;;1
Callejón San Roque;Hombre;San Roque;1.0;;;;;;;1
Plaza San Juan;Hombre;San Juan;1.0;;;;;;;1
Plaza de Tierno Galván;Hombre;Tierno Galván;0.0;;;;;;;1
Calle Felipe II;Hombre;Felipe II;0.0;;;;;;;
Calle Río Ebro;NA;Río Ebro;0.0;;;;;;;1
Calle Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;1
Calle Domingo Malagón;Hombre;Domingo Malagón;0.0;;;;;;;1
Calle Salvador;Hombre;Salvador;0.0;;;;;;;1
Calle de Gabriel y Galán;Hombre;Gabriel y Galán;0.0;;;;;;;1
Calle de San José de Calasanz;Hombre;San José de Calasanz;1.0;;;;;;;1
Calle Doctor Morcillo;Hombre;Doctor Morcillo;0.0;;;;;;;1
Calle Alfonso XIII;Hombre;Alfonso XIII;0.0;;;;;;;1
Calle de Alfonso X El Sabio;Hombre;Alfonso X El Sabio;0.0;;;;;;;1
Plaza Lino Goas Vidal;Hombre;Lino Goas Vidal;0.0;;;;;;;1
Calle Mariano Fortuny;Hombre;Mariano Fortuny;0.0;;;;;;;
Calle Rafael Canogar;Hombre;Rafael Canogar;0.0;;;;;;;
Calle Murillo;Hombre;Murillo;0.0;;;;;;;
Calle Lucio Muñoz;Hombre;Lucio Muñoz;0.0;;;;;;;
Calle Darío Regoyos;Hombre;Darío Regoyos;0.0;;;;;;;
Calle Zurbarán;Hombre;Zurbarán;0.0;;;;;;;1
Calle de Pinto;Hombre;Pinto;0.0;;;;;;;1
Calle de San Antón;Hombre;San Antón;1.0;;;;;;;1
Calle Lope de Vega;Hombre;Lope de Vega;0.0;;;;;;;1
Calle San Nicolás;Hombre;San Nicolás;1.0;;;;;;;1
Calle San Sebastián;Hombre;San Sebastián;1.0;;;;;;;1
Calle Alfonso XII;Hombre;Alfonso XII;0.0;;;;;;;1
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;1
Calle Picasso;Hombre;Picasso;0.0;;;;;;;
Calle Río Tajo;NA;Río Tajo;0.0;;;;;;;1
Calle de Honoré de Balzac;Hombre;Honoré de Balzac;0.0;;;;;;;1
Calle Gobernador;Hombre;Gobernador;0.0;;;;;;;1
Calle Claudio Coello;Hombre;Claudio Coello;0.0;;;;;;;1
Travesía Pío XII;Hombre;Pío XII;0.0;;;;;;;1
Calle Juan Gris;Hombre;Juan Gris;0.0;;;;;;;
Travesía Zurbarán;Hombre;Zurbarán;0.0;;;;;;;1
Calle Cristóbal Colón;Hombre;Cristóbal Colón;0.0;;;;;;;1
Calle Juan Bravo;Hombre;Juan Bravo;0.0;;;;;;;1
Calle Maldonado;Hombre;Maldonado;0.0;;;;;;;1
Calle Pintor Sorolla;Hombre;Pintor Sorolla;0.0;;;;;;;1
Calle Santo Tomás de Aquino;Hombre;Santo Tomás de Aquino;1.0;;;;;;;1
Calle Luis Morales;Hombre;Luis Morales;0.0;;;;;;;
Travesía Santo Tomás de Aquino;Hombre;Santo Tomás de Aquino;1.0;;;;;;;1
Calle Pintor Rosales;Hombre;Pintor Rosales;0.0;;;;;;;1
Calle Benjamín Palencia;Hombre;Benjamín Palencia;0.0;;;;;;;
Calle Juan de Juanes;Hombre;Juan de Juanes;0.0;;;;;;;
Calle Vicente López;Hombre;Vicente López;0.0;;;;;;;
Calle Antonio Moro;Hombre;Antonio Moro;0.0;;;;;;;1
Calle Goya;Hombre;Goya;0.0;;;;;;;
Calle Miró;Hombre;Miró;0.0;;;;;;;
Travesía Pintor Soroya;Hombre;Pintor Soroya;0.0;;;;;;;1
Calle Julio Romero de Torres;Hombre;Julio Romero de Torres;0.0;;;;;;;
Calle Cardenal Cisneros;Hombre;Cardenal Cisneros;0.0;;;;;;;1
Calle León XIII;Hombre;León XIII;0.0;;;;;;;1
Calle Rubén Darío;Hombre;Rubén Darío;0.0;;;;;;;1
Calle Velázquez;Hombre;Velázquez;0.0;;;;;;;
Calle Greco;Hombre;Greco;0.0;;;;;;;1
Calle San Ramón;Hombre;San Ramón;1.0;;;;;;;1
Calle Valdés Leal;Hombre;Valdés Leal;0.0;;;;;;;
Calle Luis Tristán;Hombre;Luis Tristán;0.0;;;;;;;
