Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Plaza de San Bartolomé;Hombre;San Bartolomé;1;;;;;;;
Calle Ricardo Melchior Booth;Hombre;Ricardo Melchior Booth;0;;;;;;;
Camino San Antonio;Hombre;San Antonio;1;;;;;;;
Calle Tomás González Rivero;Hombre;Tomás González Rivero;0;;;;;;;
Calle Guillermo González;Hombre;Guillermo González;0;;;;;;;
Calle Músico Pedro González;Hombre;Músico Pedro González;0;;;;;;;
Calle San Sebastián;Hombre;San Sebastián;1;;;;;;;
Calle Paulino Sanz Ramiro;Hombre;Paulino Sanz Ramiro;0;;;;;;;
Avenida Rafael González Vernetta;Hombre;Rafael González Vernetta;0;;;;;;;
Calle Hernanos Puelles;Hombre;Hernanos Puelles;0;;;;;;;
Paseo Werner Rautenberg;Hombre;Werner Rautenberg;0;;;;;;;
Calle San Juan;Hombre;San Juan;1;;;;;;;1
Calle Tomás González Rivera;Hombre;Tomás González Rivera;0;;;;;;;
Calle José Rodríguez Amador;Hombre;José Rodríguez Amador;0;;;;;;;
Calle el Señor;Hombre;Señor;0;;;;;;;
Camino el Horno;NA;Horno;0;;;;;;;
Paseo Javier Lucea Alonso;Hombre;Javier Lucea Alonso;0;;;;;;;
Calle Manuel de Vera;Hombre;Manuel de Vera;0;;;;;;;
Calle Juan Fernández;Hombre;Juan Fernández;0;;;;;;;
Camino San Francisco;Hombre;San Francisco;1;;;;;;;1
Calle Ignacio Pérez García;Hombre;Ignacio Pérez García;0;;;;;;;
Rambla Fernández de La Cruz;Hombre;Fernández de La Cruz;0;;;;;;;
Calle Felipe Castillo;Hombre;Felipe Castillo;0;;;;;;;
Camino Sebastián del Castillo;Hombre;Sebastián del Castillo;0;;;;;;;
Camino Hermanos Tabares;Hombre;Hermanos Tabares;0;;;;;;;
Plaza San Isidro;Hombre;San Isidro;1;;;;;;;
Plaza San Ramón;Hombre;San Ramón;1;;;;;;;
Mirador de Cruz del Carmen;Hombre;Mirador de Cruz del Carmen;0;;;;;;;
Calle Juan Garcia Exposito;Hombre;Juan Garcia Exposito;0;;;;;;;
"""Calle Isidoro Alonso Melián """"Isidoro El Bichillo""""""";Hombre;"""Isidoro Alonso Melián """"Isidoro El Bichillo""""""";0;;;;;;;
Calle Clemente Vera;Hombre;Clemente Vera;0;;;;;;;
Calle Olof Palme;Hombre;Olof Palme;0;;;;;;;
Calle Santo Labrador;Hombre;Santo Labrador;1;;;;;;;
Calle José Rodríguez;Hombre;José Rodríguez;0;;;;;;;
Calle Pérez Bethencourt;Hombre;Pérez Bethencourt;0;;;;;;;
Callejón Hernandez;Hombre;Hernandez;0;;;;;;;
Calle Andrés Segovia;Hombre;Andrés Segovia;0;;;;;;;
Calle Francisco Báez;Hombre;Francisco Báez;0;;;;;;;
Calle del Párroco Hipólito Jorge Dorta;Hombre;Párroco Hipólito Jorge Dorta;0;;;;;;;
Sendero Fermin Delgado;Hombre;Fermin Delgado;0;;;;;;;
Calle Luís Álvarez Castro;Hombre;Luís Álvarez Castro;0;;;;;;;
Callejón Señor Polo;Hombre;Señor Polo;0;;;;;;;
Carretera General del Norte;Hombre;General del Norte;0;;;;;;;
Camino Juan Fernández;Hombre;Juan Fernández;0;;;;;;;
Camino San Lázaro;Hombre;San Lázaro;1;;;;;;;
Camino Tornero;Hombre;Tornero;0;;;;;;;
Camino Alfredo Hernandez Canino;Hombre;Alfredo Hernandez Canino;0;;;;;;;
Calle Lorenzo Hernández Abad;Hombre;Lorenzo Hernández Abad;0;;;;;;;
Calle Roque el;NA;Roque el;0;;;;;;;
Calle Canónigo Leopoldo Morales;Hombre;Canónigo Leopoldo Morales;0;;;;;;;
Camino Pedro Gómez;Hombre;Pedro Gómez;0;;;;;;;
Calle el Ganadero;NA;Ganadero;0;;;;;;;
Camino Guillén;Hombre;Guillén;0;;;;;;;
Camino Valeriano Pérez;Hombre;Valeriano Pérez;0;;;;;;;
Camino Antonio Marcelino;Hombre;Antonio Marcelino;0;;;;;;;
Calle Delgado Barreto;Hombre;Delgado Barreto;0;;;;;;;1
Calle Vereda Fiscal;Hombre;Vereda Fiscal;0;;;;;;;
Camino Emeterio GIl;Hombre;Emeterio GIl;0;;;;;;;
Calle el Sacristán;Hombre;Sacristán;0;;;;;;;
Calle San Carlos;Hombre;San Carlos;1;;;;;;;
Calle José Feliciano;Hombre;José Feliciano;0;;;;;;;
Camino Bachiller;Hombre;Bachiller;0;;;;;;;
Calle Huérfano;NA;Huérfano;0;;;;;;;
Calle Virgilio;Hombre;Virgilio;0;;;;;;;
Camino León Hernández;Hombre;León Hernández;0;;;;;;;
Pasaje Julián González;Hombre;Julián González;0;;;;;;;
Pasaje el Carretero;NA;Carretero;0;;;;;;;
Calle Ruiseñor (hoya Camello;Hombre;Ruiseñor (hoya Camello;0;;;;;;;
Calle el Peregrino;NA;Peregrino;0;;;;;;;
Plaza Víctor Zurita Soler;Hombre;Víctor Zurita Soler;0;;;;;;;1
Pasaje Fermín Cedres Hernández;Hombre;Fermín Cedres Hernández;0;;;;;;;1
Plaza San Honorato;Hombre;San Honorato;1;;;;;;;1
Plaza de San Cristóbal;Hombre;San Cristóbal;1;;;;;;;1
Plaza San Francisco de Paula;Hombre;San Francisco de Paula;1;;;;;;;
Mirador de San Roque;Hombre;Mirador de San Roque;0;;;;;;;1
Plaza Nácere Hayek;Hombre;Nácere Hayek;0;;;;;;;1
Parque José Rodríguez Melián;Hombre;José Rodríguez Melián;0;;;;;;;
Calle Heraclio Sánchez;Hombre;Heraclio Sánchez;0;;;;;;;1
Calle Doctor Antonio González;Hombre;Doctor Antonio González;0;;;;;;;1
Calle Doctor Zamenhoff;Hombre;Doctor Zamenhoff;0;;;;;;;1
Calle Elías Serra Ràfols;Hombre;Elías Serra Ràfols;0;;;;;;;1
Buenaventura Bonnet;Hombre;Buenaventura Bonnet;0;;;;;;;1
Avenida Leonardo Torriani;Hombre;Leonardo Torriani;0;;;;;;;1
Plaza de San Cristobal;Hombre;San Cristobal;1;;;;;;;1
Calle Benito Pérez Armas;Hombre;Benito Pérez Armas;0;;;;;;;1
Carretera General La Cuesta - Taco;Hombre;General La Cuesta - Taco;0;;;;;;;
Calle Arturo Vergara Rodríguez;Hombre;Arturo Vergara Rodríguez;0;;;;;;;1
Calle Antonio González Paz;Hombre;Antonio González Paz;0;;;;;;;
Calle Blas Niebla Rodríguez;Hombre;Blas Niebla Rodríguez;0;;;;;;;
Calle Machado y Fiesco;Hombre;Machado y Fiesco;0;;;;;;;
Calle Marqués de Bajamar;Hombre;Marqués de Bajamar;0;;;;;;;
Avenida de Angel Romero;Hombre;Angel Romero;0;;;;;;;
Avenida San Cristóbal;Hombre;San Cristóbal;1;;;;;;;
Calle Eduardo de Roo;Hombre;Eduardo de Roo;0;;;;;;;
Calle Lugo Herrera;Hombre;Lugo Herrera;0;;;;;;;
Calle Narciso Vera;Hombre;Narciso Vera;0;;;;;;;
Calle Alvarado y Bracamonte;Hombre;Alvarado y Bracamonte;0;;;;;;;
Calle Franco de Castilla;Hombre;Franco de Castilla;0;;;;;;;
Calle Francisco Ramos;Hombre;Francisco Ramos;0;;;;;;;
Calle Francisco Bello;Hombre;Francisco Bello;0;;;;;;;
Calle Deán Bencomo Rodríguez;Hombre;Deán Bencomo Rodríguez;0;;;;;;;
Calle Castro Ayala;Hombre;Castro Ayala;0;;;;;;;
Leocadio Machado;Hombre;Leocadio Machado;0;;;;;;;1
Calle Pablo Iglesias;Hombre;Pablo Iglesias;0;;;;;;;1
Calle Orfebre Ventura Aleman;Hombre;Orfebre Ventura Aleman;0;;;;;;;1
Calle Morales;NA;Morales;0;;;;;;;1
Calle Alfredo Torres Edwards;Hombre;Alfredo Torres Edwards;0;;;;;;;1
Calle Manuel Hernández Martín;Hombre;Manuel Hernández Martín;0;;;;;;;1
Calle San Honorato;Hombre;San Honorato;1;;;;;;;1
Nuñez de la Peña;Hombre;Nuñez de la Peña;0;;;;;;;1
Henry Dunant;Hombre;Henry Dunant;0;;;;;;;1
Luis Braille;Hombre;Luis Braille;0;;;;;;;1
Calle Don Quijote;Hombre;Don Quijote;0;;;;;;;1
Antonio González Ramos;Hombre;Antonio González Ramos;0;;;;;;;1
Calle Poeta García Cabrera;Hombre;Poeta García Cabrera;0;;;;;;;1
Calle San Borondón;Hombre;San Borondón;1;;;;;;;1
Calle Escultor Estévez;Hombre;Escultor Estévez;0;;;;;;;1
Cruz de Candelaria;Hombre;Cruz de Candelaria;0;;;;;;;1
Calle San Antonio;Hombre;San Antonio;1;;;;;;;1
Calle Luís Álvarez Cruz;Hombre;Luís Álvarez Cruz;0;;;;;;;1
Calle Manuel de Ossuna;Hombre;Manuel de Ossuna;0;;;;;;;1
