Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Aída;Mujer;Aída;;;;;;;;
Calle Valquiria;Mujer;Valquiria;;1.0;Deidad femenina nórdica;https://es.wikipedia.org/wiki/Valquiria;http://commons.wikimedia.org/wiki/Special:FilePath/Valkyrie%20%28Peter%20Nicolai%20Arbo%29%20-%20Nationalmuseum%20-%2018255.tif;;;
Calle Electra;Mujer;Electra;;1.0;;https://es.wikipedia.org/wiki/Electra;;;;
Calle Medea;Mujer;Medea;;1.0;gran hechicera de la mitología griega;https://es.wikipedia.org/wiki/Medea_(mitolog%C3%ADa);http://commons.wikimedia.org/wiki/Special:FilePath/Medea-Sandys.jpg;;;
Calle de Santa Cipriana;Mujer;Santa Cipriana;1.0;;;;;;;
Calle Águeda;Mujer;Águeda de Catania;1.0;;santa, virgen y mártir cristiana;https://es.wikipedia.org/wiki/%C3%81gueda_de_Catania;http://commons.wikimedia.org/wiki/Special:FilePath/IcoonAgatha.jpg;0235-09-08T00:00:00Z;0261-02-05T00:00:00Z;
Plaza de Rosa Chacel;Mujer;Rosa Chacel;;;escritora española de la Generación del 27;https://es.wikipedia.org/wiki/Rosa_Chacel;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Chacel.jpg;1898-06-03T00:00:00Z;1994-07-27T00:00:00Z;
Plaza de Lola Herrera;Mujer;Lola Herrera;;;Actriz española;https://es.wikipedia.org/wiki/Lola_Herrera;http://commons.wikimedia.org/wiki/Special:FilePath/Lola%20Herrera%2048%20Voces%20en%20Puerto%20del%20Rosario.jpg;1935-06-30T00:00:00Z;;
Plaza de la Virgen del Carmen;Mujer;Virgen del Carmen;1.0;;advocación de la Virgen María;https://es.wikipedia.org/wiki/Virgen_del_Carmen;http://commons.wikimedia.org/wiki/Special:FilePath/HuitzoCarmen.jpg;;;
Plaza de Carmen Ferreiro;Mujer;Carmen Ferreiro;;;;;;;;
Paseo de Isabel la Católica;Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;1
Calle de Santa Clara;Mujer;Clara de Asís;1.0;;fundadora de las clarisas y santa de la Iglesia católica;https://es.wikipedia.org/wiki/Clara_de_As%C3%ADs;http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Claire%20of%20Assisi%2C%20Walters%20Art%20Museum.jpg;1193-01-01T00:00:00Z;1253-08-18T00:00:00Z;1
Puente de Isabel la Católica;Mujer;Isabel I de Castilla;;;reina de la Corona Castellana (Castilla-León);https://es.wikipedia.org/wiki/Isabel_I_de_Castilla;http://commons.wikimedia.org/wiki/Special:FilePath/IsabellaofCastile03.jpg;1451-05-01T00:00:00Z;1504-12-06T00:00:00Z;1
Puente de la Condesa Eylo;Mujer;Eylo Alfonso;;;primera esposa del conde Pedro Ansúrez;https://es.wikipedia.org/wiki/Eylo_Alfonso;http://commons.wikimedia.org/wiki/Special:FilePath/Pendon%20del%20conde-%20Ansurez.jpg;http://www.wikidata.org/.well-known/genid/b0233f2df13a92219f4f4b2c643338af;1112-01-01T00:00:00Z;
Calle de Rondilla de Santa Teresa;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
