Calle;Género;Nombre;Religioso;Ficción;Descripción;Artículo;Imagen;Fecha Nacimiento;Fecha Muerte;Céntrica
Calle Albéniz;Hombre;Albéniz;0.0;;;;;;;
Calle Aleixandre;Hombre;Aleixandre;0.0;;;;;;;
Calle Arcipreste de Hita;Hombre;Arcipreste de Hita;0.0;;;;;;;1
Calle Azorín;Hombre;Azorín;0.0;;;;;;;1
Calle Babcock Wilcox;Hombre;Babcock Wilcox;0.0;;;;;;;1
Calle Blas de Otero;Hombre;Blas de Otero;0.0;;;;;;;
Calle Carlos Ibañez;Hombre;Carlos Ibañez;0.0;;;;;;;
Calle Carlos Ibañez López;Hombre;Carlos Ibañez López;0.0;;;;;;;
Calle Cervantes;Hombre;Cervantes;0.0;;;;;;;1
Calle El Cid;Hombre;Cid;0.0;;;;;;;1
Calle Colón;Hombre;Colón;0.0;;;;;;;
Corredor del Ballonti;NA;Corredor del Ballonti;0.0;;;;;;;
Calle Doctor Fleming;Hombre;Doctor Fleming;0.0;;;;;;;1
Calle Doctor Norberto Acebal;Hombre;Doctor Norberto Acebal;0.0;;;;;;;
Calle Doctor Waksman;Hombre;Doctor Waksman;0.0;;;;;;;1
Calle Don Tello;Hombre;Don Tello;0.0;;;;;;;1
Euskaldun Berria Plaza;NA;Euskaldun Berria Plaza;0.0;;;;;;;
Federico García Lorca Plaza;Hombre;Federico García Lorca Plaza;0.0;;;;;;;1
Calle Francisco Gómez;Hombre;Francisco Gómez;0.0;;;;;;;1
Calle Francisco Tierra;Hombre;Francisco Tierra;0.0;;;;;;;
Calle Franco-Belga;Hombre;Franco-Belga;0.0;;;;;;;1
Calle Gabriel Aresti;Hombre;Gabriel Aresti;0.0;;;;;;;1
Calle Galindo;Hombre;Galindo;0.0;;;;;;;1
Calle Gaudí;Hombre;Gaudí;0.0;;;;;;;1
Travesía Gaudí;Hombre;Gaudí;0.0;;;;;;;1
Avenida Gernikako Arbola;NA;Gernikako Arbola;0.0;;;;;;;1
Calle Goya;Hombre;Goya;0.0;;;;;;;1
Plaza Harino Panadera;NA;Harino Panadera;0.0;;;;;;;1
Calle Hilario Agapito;Hombre;Hilario Agapito;0.0;;;;;;;
Calle Horacio Etxebarrieta;Hombre;Horacio Etxebarrieta;0.0;;;;;;;
Horacio Etxebarrieta kalea;Hombre;Horacio Etxebarrieta kalea;0.0;;;;;;;
Calle de Ilgner;Hombre;Ilgner;0.0;;;;;;;1
Calle Isaac Peral;Hombre;Isaac Peral;0.0;;;;;;;1
Avenida Ismael Gorostiza;Hombre;Ismael Gorostiza;0.0;;;;;;;1
Ismael Gorostiza hiribidea;Hombre;Ismael Gorostiza hiribidea;0.0;;;;;;;1
Calle José de Espronceda;Hombre;José de Espronceda;0.0;;;;;;;1
Calle José Vara;Hombre;José Vara;0.0;;;;;;;
Calle José Zorrilla;Hombre;José Zorrilla;0.0;;;;;;;1
Calle Juan de Garay;Hombre;Juan de Garay;0.0;;;;;;;1
Calle Juan de Mena;Hombre;Juan de Mena;0.0;;;;;;;1
Calle Juan XXIII;Hombre;Juan XXIII;0.0;;;;;;;
Justo Pérez de Etxebarría Plaza;Hombre;Justo Pérez de Etxebarría Plaza;0.0;;;;;;;
Plaza Lope de Vega;Hombre;Lope de Vega;0.0;;;;;;;1
Calle Lope de Vega;Hombre;Lope de Vega;0.0;;;;;;;1
Lope de Vega kalea;Hombre;Lope de Vega kalea;0.0;;;;;;;1
Calle Lope García de Salazar;Hombre;Lope García de Salazar;0.0;;;;;;;1
Travesía de Lope García de Salazar;Hombre;Lope García de Salazar;0.0;;;;;;;
Plaza López de Ayala;Hombre;López de Ayala;0.0;;;;;;;1
Calle Luis de Castresana;Hombre;Luis de Castresana;0.0;;;;;;;1
Calle Magallanes;Hombre;Magallanes;0.0;;;;;;;
Calle de Manolo Travieso;Hombre;Manolo Travieso;0.0;;;;;;;1
Calle Manuel de Falla;Hombre;Manuel de Falla;0.0;;;;;;;1
Molino de San Juan kalea;Hombre;Molino de San Juan kalea;1.0;;;;;;;
Munibe kalea;NA;Munibe kalea;0.0;;;;;;;1
Calle Murillo;Hombre;Murillo;0.0;;;;;;;1
Calle Obispo Olaechea;Hombre;Obispo Olaechea;0.0;;;;;;;
Calle Obispo Padre Olaetxea;Hombre;Obispo Padre Olaetxea;0.0;;;;;;;
Calle Pablo Picasso;Hombre;Pablo Picasso;0.0;;;;;;;1
Paseo Padre Cirilo Sagastagoitia;Hombre;Padre Cirilo Sagastagoitia;0.0;;;;;;;
Calle Particular San Vicente;Hombre;Particular San Vicente;1.0;;;;;;;1
Calle Pedro Solabarria;Hombre;Pedro Solabarria;0.0;;;;;;;1
Calle Pío Baroja;Hombre;Pío Baroja;0.0;;;;;;;
Grupo Primero de Mayo;Hombre;Primero de Mayo;0.0;;;;;;;1
Calle Quevedo;Hombre;Quevedo;0.0;;;;;;;1
Paseo de Ramón Rubial Cavia;Hombre;Ramón Rubial Cavia;0.0;;;;;;;1
Calle Ramón y Cajal;Hombre;Ramón y Cajal;0.0;;;;;;;1
Calle Ramón Zabalo;Hombre;Ramón Zabalo;0.0;;;;;;;1
Ronda Resurreción María de Azkue;NA;Resurreción María de Azkue;0.0;;;;;;;1
Calle Río Castaños;NA;Río Castaños;0.0;;;;;;;
Calle Rubén Darío;Hombre;Rubén Darío;0.0;;;;;;;1
Calle Sagasti;Hombre;Sagasti;0.0;;;;;;;
Calle San Antolín;Hombre;San Antolín;1.0;;;;;;;1
Calle San Antonio;Hombre;San Antonio;1.0;;;;;;;1
Calle San Bartolomé;Hombre;San Bartolomé;1.0;;;;;;;1
Avenida San Bartolomé;Hombre;San Bartolomé;1.0;;;;;;;1
Avenida de San Bartolomé;Hombre;San Bartolomé;1.0;;;;;;;
Calle San Fernando;Hombre;San Fernando;1.0;;;;;;;1
Calle San Ignacio;Hombre;San Ignacio;1.0;;;;;;;
Travesía de San Ignacio;Hombre;San Ignacio;1.0;;;;;;;
Calle San José;Hombre;San José;1.0;;;;;;;1
Calle San Juan;Hombre;San Juan;1.0;;;;;;;1
Calle San Luis;Hombre;San Luis;1.0;;;;;;;1
Grupo San Pedro;Hombre;San Pedro;1.0;;;;;;;1
Calle San Roque;Hombre;San Roque;1.0;;;;;;;
Calle San Valentín de Berriotxoa;Hombre;San Valentín de Berriotxoa;1.0;;;;;;;1
Calle San Vicente;Hombre;San Vicente;1.0;;;;;;;1
Calle Santiago Apóstol;Hombre;Santiago Apóstol;1.0;;;;;;;1
Calle Santo Domingo de Guzmán;Hombre;Santo Domingo de Guzmán;1.0;;;;;;;1
Calle Velázquez;Hombre;Velázquez;0.0;;;;;;;1
Calle El Carmen;Mujer;Carmen;0.0;;;;;;;1
Paseo de Clara Campoamor;Mujer;Clara Campoamor;0.0;;política española, feminista;https://es.wikipedia.org/wiki/Clara_Campoamor;http://commons.wikimedia.org/wiki/Special:FilePath/Clara%20Campoamor.png;1888-02-12T00:00:00Z;1972-04-30T00:00:00Z;
Travesía Corazón de María;NA;Corazón de María;1.0;;;;;;;
Calle Corazón de María;NA;Corazón de María;1.0;;;;;;;
Paseo Dolores Ibarruri;Mujer;Dolores Ibárruri;0.0;;política española;https://es.wikipedia.org/wiki/Dolores_Ib%C3%A1rruri;http://commons.wikimedia.org/wiki/Special:FilePath/Dolores002.jpg;1895-12-09T00:00:00Z;1989-11-12T00:00:00Z;1
Plaza Florencia San Miguel;Mujer;Florencia San Miguel;0.0;;;;;;;1
Calle Francisca Eguiluz;Mujer;Francisca Eguiluz;0.0;;;;;;;
Calle La Inmaculada;Mujer;Inmaculada Concepción;1.0;;dogma de la Iglesia católica;https://es.wikipedia.org/wiki/Inmaculada_Concepci%C3%B3n;http://commons.wikimedia.org/wiki/Special:FilePath/Murillo%20immaculate%20conception.jpg;;;
Calle María Auxiliadora;Mujer;María Auxiliadora;1.0;;título dado a la Virgen María por los cristianos;https://es.wikipedia.org/wiki/Mar%C3%ADa_Auxiliadora;;;;1
Calle María de Maeztu;Mujer;María de Maeztu;0.0;;pedagoga y humanista española;https://es.wikipedia.org/wiki/Mar%C3%ADa_de_Maeztu;http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Maeztu.JPG;1881-07-18T00:00:00Z;1948-01-07T00:00:00Z;1
Resurrección María de Azkue Hiribidea;NA;Resurrección María de Azkue Hiribidea;1.0;;;;;;;1
Resurreción Maria de Azkue Hiribidea;NA;Resurreción Maria de Azkue Hiribidea;1.0;;;;;;;1
Camino Santa Águeda / Agate Deuna bidea;Mujer;Águeda de Catania;1.0;;santa, virgen y mártir cristiana;https://es.wikipedia.org/wiki/%C3%81gueda_de_Catania;http://commons.wikimedia.org/wiki/Special:FilePath/IcoonAgatha.jpg;0235-09-08T00:00:00Z;0261-02-05T00:00:00Z;
Plaza de Santa Teresa;Mujer;Teresa de Jesús;1.0;;religiosa castellana;https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs;http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20de%20Jes%C3%BAs%20%28cropped%29.jpg;1515-04-07T00:00:00Z;1582-10-15T00:00:00Z;1
Plaza Sor Juana Casajús;Mujer;Sor Juana Casajús;1.0;;;;;;;1
Calle Vega de Tapia;NA;Vega de Tapia;0.0;;;;;;;
Calle Vega de Zuazo;NA;Vega de Zuazo;0.0;;;;;;;
Calle Vega La Punta;NA;Vega La Punta;0.0;;;;;;;1
Calle Vega Vieja;NA;Vega Vieja;0.0;;;;;;;1
Calle Aforados;NA;Aforados;0.0;;;;;;;1
Calle El Ahorro;NA;Ahorro;0.0;;;;;;;1
Plaza del Ajedrez;NA;Ajedrez;0.0;;;;;;;1
